2020-09-15 09:15:45.409 [main] INFO  njust.cs1.messagesystem.MessageSystemApplication - Starting MessageSystemApplication on pnephrit with PID 11108 (E:\Desktop\git\MessageSystem\target\classes started by panyu in E:\Desktop\git\MessageSystem)
2020-09-15 09:15:45.418 [main] INFO  njust.cs1.messagesystem.MessageSystemApplication - No active profile set, falling back to default profiles: default
2020-09-15 09:15:45.995 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2020-09-15 09:15:46.031 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31ms. Found 2 JPA repository interfaces.
2020-09-15 09:15:46.303 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8998 (http)
2020-09-15 09:15:46.322 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8998"]
2020-09-15 09:15:46.323 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-09-15 09:15:46.323 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.37]
2020-09-15 09:15:46.416 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-09-15 09:15:46.416 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 922 ms
2020-09-15 09:15:46.568 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-09-15 09:15:46.615 [task-1] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2020-09-15 09:15:46.661 [task-1] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.21.Final
2020-09-15 09:15:46.777 [task-1] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-09-15 09:15:46.827 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
